NOMBRE,UBICACION,COORDENADAS,BARRIO,TEMATICA,TELEFONO,EMAIL,WEB,VIDEO
Funny Books,Ciudad de la Paz 2602,"-34.558134,-58.461536",Belgrano,Textos escolares,4786-6887,anibooks@yahoo.com,,
Galeria Buenos Aires,Florida 833,"-34.598306,-58.375367",San Nicolás,Anticuaria,,,,
Librerías Galerna,Av. Cabildo 1852,"-34.564387,-58.454686",Belgrano,General,4788-6201,cabildo@galerna.net,www.galernalibros.com,
Gambito de Alfil,José Bonifacio 1402,"-34.628642,-58.446571",Caballito,Humanidades,4432-1304,gambitolibros@uolsinectis.com.ar,,
El Gato escaldado,Av. Independencia 3548,"-34.620974,-58.415755",San Telmo,General,4932-1956,elgatoescaldado@hotmail.com,www.elgatoescaldado.com.ar ,
Librería Guadalquivir,Montevideo 846,"-34.596882,-58.388275",Recoleta,"Artes visuales, diseño y aquitectura",4815-5797 / 4815-5812,cineyteatro@proeme.com,www.libreriaguadalquivir.com,
Librería Guadalquivir,Rodriguez Peña 744,"-34.600241,-58.391528",Recoleta,Religión,4815-1190,religiones@libreriaguadalquivir.com,www.libreriaguadalquivir.com,
Librería y santería Guadalupe,Mansilla 3865,"-34.588914,-58.417545",Palermo,Religión,4826-8587,librosguada@yahoo.com,,
La Guadalupita,Av. Avellaneda 3918,"-34.629567,-58.483879",Floresta,Religión,4674-2287,laguadalupita@yahoo.com.ar,,
El Gualeguay libros,Pacheco 2251,"-34.574308,-58.483231",Villa Urquiza,General,4524-3680,info@elgualeguaylibros.com.ar ,www.elgualeguaylibros.com.ar,
Guiraud libros,Av. Coronel Díaz 1492,"-34.593149,-58.413636",Palermo,Narrativa y poesía,4822-0419,guiraudlibros@hotmail.com,,
Gustavo Multedo ,Sanchez de Bustamante 515 -6ºE,"-34.603861,-58.414447",Palermo,Medicina,4861-4708/4865-9693,gustavomultedo@fibertel.com.ar,,
El Hablador Libros ,Av. Cabildo 2280 Loc. 7,"-34.560354,-58.458132",Belgrano,De viejo,4783-4804,elhablador@fibertel.com.ar /  libreriaelhablador@gmail.com,www.elhablador.com.ar,
Distal libros,Av. Cabildo 2431,"-34.558943,-58.459333",Belgrano,General,4786-7007,distal2431@distalnet.com,www.distalnet.com,
Distal libros,Av. Corrientes 921,"-34.603576,-58.379774",San Nicolás,De saldos,5274-1392,921@distalnet.com,www.distalnet.com,
Distal libros,Av. Rivadavia 4648,"-34.615912,-58.431078",Caballito,General,4904-0506,rivadavia4648@distalnet.com,www.distalnet.com,
Distal libros,Av. Santa Fe 3142,"-34.58968,-58.409364",Palermo,General,4822-7217,distal3142@distalnet.com,www.distalnet.com,
Distal libros,Florida 249,"-34.605162,-58.375115",San Nicolás,General,5218-4370,distal249@distalnet.com,www.distalnet.com,eK775S6N5cg
Distal libros,Florida 436,"-34.60293,-58.375249",San Nicolás,General,5218-4372,distal436@distalnet.com,www.distalnet.com,
Entre libros,Av. Santa fe 2450 local 7,"-34.594624,-58.401726",Recoleta,De viejo,4824-6035,enlibros@fibertel.com.ar,www.entrelibros.com.ar,
Librería Hammurabi,Talcahuano 440,"-34.603455,-58.385183",San Nicolás,"Ciencias económicas, jurídicas y empresariales",4371-8179,info@libreriahammurabi.com.ar,www.hammurabi.com.ar,
Happy Book,Av. Rivadavia 5462,"-34.621132,-58.442139",Caballito,De saldos,4431-4240,,,
Deva´s ,Juramento 2307,"-34.561502,-58.455734",Belgrano,Autoayuda y esoterismo,4788-2785,tnbelgrano@devas.com,http://www.devas.com,
Hastinapura,José Bonifacio 2374,"-34.632286,-58.460781",Flores,Religión,4613-4398,ventas@hastinapuralibros.com.ar,www.hastinapuralibros.com.ar,
Helena de Buenos Aires,Esmeralda 874,"-34.598001,-58.378369",Retiro,Anticuaria,4311-1491 ,info@helenadebuenosaires.com.ar,www.helenadebuenosaires.com.ar,
Librería Histórica,Azcuénaga 1846,"-34.588249,-58.39562",Recoleta,Anticuaria,4801-0257,info@libreriahistorica.com.ar,www.libreriahistorica.com.ar,
Librería Huemul,Av. Santa Fe 2237,"-34.595285,-58.398974",Recoleta,Textos escolares,4822-1666,libreriahuemul@gmail.com.ar,www.libreriahuemul.com.ar,
Book Company,Blando Encalada 197 local 56 ,"-34.564659,-58.468285",Nuñez,Infantiles,5352-1450,info@bookcompany.com.ar,www.bookcompany.com.ar,
Monk,Av. Corrientes 1671,"-34.604313,-58.390418",San Nicolás,General,4371-2332,compro-libros@hotmail.com,www.compro-libros.com,
El Incunable,Montevideo 1519,"-34.592339,-58.388801",Recoleta,De viejo,4811-4868,elincunable@hotmail.com,,
Instituto de publicaciones navales,Florida 971 Loc. 28,"-34.596388,-58.375421",San Nicolás,Técnicos,4311-0042/43,instituto@ipneditores.com.ar ,www.ipneditores.com.ar,
Librería del Instituto,Rodriguez Peña 1052,"-34.596518,-58.391908",Recoleta,Religión,4811-5906,libreriadelinstituto@infovia.com.ar,,
La Internacional argentina,El Salvador 4199,"-34.592746,-58.422672",Palermo,Narrativa y poesía,,editorialmansalva@yahoo.com.ar,,
La Jabonería,Humberto Primo 805,"-34.620852,-58.377301",San Telmo,De viejo,4361-7949,,,
Proust & Co. Joyce,Tucumán 1545 1º A,"-34.601735,-58.388721",San Nicolás,Lenguas extranjeras,4371-3849,info@joyceproust.com.ar,www.joyceproust.com.ar,
Kirker libros,Bartolomé Mitre 2102,"-34.608308,-58.396397",Balvanera,Textos escolares,4954-3961,kirkerlibros1@hotmail.com,,
L´ Amateur antique bookshop,Esmeralda 882,"-34.597901,-58.378377",Retiro,Anticuaria,4312 7635,lamateur@arnet.com.ar,www.librerialamateur.com.ar,
L.O.L.A Literature of Latin American,Viamonte 976 2º D,"-34.600208,-58.380806",San Nicolás,Ciencias naturales,4322-3920,lola@ar.inter.net,www.lola-online.com,
La Antorcha,Av. Rivadavia 4156,"-34.612972,-58.424331",Almagro,Religión,4958-5375,uevaantorcha@fibertel.com.ar,,
La Ballena,Av. De Mayo 937,"-34.608921,-58.379746",Monserrat,Anticuaria,,,,
Librería Terramar,Av. de Mayo 1111,"-34.60908,-58.382104",San Cristobal,General,4382-3592,libreriaterramar@live.com.ar,terranovaediciones.com.ar,
Ediciones La Rocca,Talcahuano 458,"-34.603124,-58.385164",San Nicolás,"Ciencias económicas, jurídicas y empresariales",4382-8526,edicioneslarocca@speedy.com.ar,www.edicioneslarocca.com ,
La Lectura,Tucumán 1425,"-34.601654,-58.387031",San Nicolás,"Ciencias económicas, jurídicas y empresariales",4374-1779 / 4372-4701,info@lalectura.com.ar,www.lalectura.com.ar,
Lecturas y Melodías,Emilio Mitre 431,"-34.627216,-58.443256",Caballito,De viejo,4433-2823,jorgejuguer@yahoo.com.ar,,
Leer es muy barato,Av. Corrientes 1556,"-34.604181,-58.388705",San Nicolás,General,,,,
El Escriba Libros,Balcarce 1053 local 14 A,"-34.620059,-58.370068",San Telmo,De viejo,4362-8149,info@elescriba.com,www.elescriba.com,
El Milagroso,Cuzco 149,"-34.637968,-58.527841",Liniers,Religión,4642-1178,,,
Distal libros,Cnel. Ramón L. Falcón 7145 - Shopping liniers Loc. 117 ,"-34.640293,-58.526935",Liniers,General,4644-4369,liniers@distal.net,www.distalnet.com,
Enlace Porrua S.A.,"Tucumán 927 , PB","-34.601278,-58.379984",San Nicolás,"Ciencias económicas, jurídicas y empresariales, Narrativa y poesía",4326-1249,enlaceporrua@ediar.com.ar,,
Ensayo ,Lavalle 528,"-34.602158,-58.374282",San Nicolás,General,,info@libreriaensayo.com.ar,,
Entelequia Comic Bookstore,Juramento 2584,"-34.563043,-58.458408",Belgrano,Comics,4788-4521,belgrano@entelequia.com.ar,www.entelequia.com.ar,
Entre Líneas,Cuenca 3375,"-34.598792,-58.497175",Villa Devoto,Narrativa y poesía,4504-2056,,,
Epifanía libros,Lavalle 1910,"-34.603218,-58.394136",Balvanera,De viejo,4953 1088,info@epifanialibros.com.ar,www.epifanialibros.com.ar,
Errepar,Paraná 725,"-34.600324,-58.388095",San Nicolás,"Ciencias económicas, jurídicas y empresariales",4370-2002,clientes@errepar.com,www.errepar.com,
El Foro,Lavalle 1362 PB 6,"-34.60277,-58.38609",San Nicolás,"Ciencias económicas, jurídicas y empresariales",4382-0987,elforo@libreria-elforo.com,www.libreria-elforo.com,
Ríos de Agua Viva,Talcahuano 1211,"-34.594362,-58.385808",Recoleta,General,4811-6806,info@riosdeaguaviva.com.ar,www.riosdeaguaviva.com.ar,
El Gaucho,Boyacá 1538,"-34.611983,-58.467346",Flores,De viejo,4582-2721,info@libreriaelgaucho.com.ar,www.libreriaelgaucho.com.ar,
El Gaucho,Neuquén 765,"-34.615923,-58.442584",Caballito,De viejo, 4432-5164,libreriaelgaucho@hotmail.com, www.libreriaselgaucho.com.ar,
El Glyptodón,Ayacucho 734,"-34.600517,-58.395733",Balvanera,Anticuaria,4374-7973,libreriaelglyptodon@gmail.com,www.libreriaelglyptodon.com.ar ,
Argentinidad , Florida 860 - Local 101,"-34.597989,-58.375381",Monserrat,General,48940169,ediciones@argentinidad.com,www.ediciones.argentinidad.com,
Gout elite gastronómica,Echeverría 2079 3º C (concertar cita previamente) ,"-34.561193,-58.452857",Belgrano,Gastronomía,4781-7940 / 15 3186 3158,info@gastronomia-gout.com.ar,www.gastronomia-gout.com.ar,
Graciela libros/ Book Press,Pirovano 111,"-34.641014,-58.420623",Nueva Pompeya,Técnicos,4922-9645,graciela_libros@speedy.com.ar,,
Librería Guadalquivir,Av. Callao 1012,"-34.597068,-58.393215",Recoleta,"Educación, Humanidades",4816-0221,guadalquivir@proeme.com,www.libreriaguadalquivir.com,DUjNMVIn-gI
Juan Blatón ,Florida 681 Loc. 10,"-34.600088,-58.375376",San Nicolás,Humanidades,,,,
Juan José Ara,Bacacay 2547,"-34.627011,-58.465845",Flores,Medicina,4611-0425,juanara@librosmedicos.com,www.librosmedicos.com,
Librería Juncal,Talcahuano 1288,"-34.593004,-58.386294",Retiro,"Ciencias económicas, jurídicas y empresariales",4812-6062,libreriajuncal@yahoo.com,,ityox-HZmjE
Librería Júpiter,Lavalle 1571,"-34.602946,-58.389027",San Nicolás,"Ciencias económicas, jurídicas y empresariales",4372-3881 / 4375-7380,info@libreriajupiter.com.ar,www.libreriajupiter.com.ar,
Jurídica Pueyrredón,Av. Pueyrredón 2474,"-34.585818,-58.393901",Recoleta,"Ciencias económicas, jurídicas y empresariales",4803-2100,ibrería_juridica@hotmail.com,,
Librería del Jurista,Talcahuano 427,"-34.603594,-58.385135",San Nicolás,"Ciencias económicas, jurídicas y empresariales",4371-7337,libreria@deljurista.com,www.deljurista.com,
Kehot,Cabrera 3102,"-34.596966,-58.410244",Palermo,Religión,4963-7171,info@kehot.com.ar,www.kehot.com.ar,
Kel,Av. La Plata 63,"-34.615813,-58.429093",Caballito,Lenguas extranjeras,4901-5647 / 4903-5306,info@kel-ediciones.com,www.kelediciones.com,
Kel,Conde 1990,"-34.568307,-58.464624",Belgrano,Lenguas extranjeras,4555-4005,info@kel-ediciones.com,www.kelediciones.com,
Kel,Marcelo T. Alvear 1369,"-34.59701,-58.386616",Recoleta,Lenguas extranjeras,4814-3788,info@kel-ediciones.com,www.kelediciones.com,
Legenda,Charcas 3279,"-34.591914,-58.412109",Recoleta,De viejo,4829-1419,libroslegenda@hotmail.com,,
Leonardo Lerner,Av. Las Heras 2961 9º 29,"-34.583454,-58.402012",Palermo,Anticuaria,4802-3210,lernerbooks@hotmail.com,,
Letra Viva,Av. Coronel Diaz 1837,"-34.589872,-58.410748",Palermo,Psicología,4825-9034,info@imagoagenda.com,www.imagoagenda.com,
Abeledo Perrot ,Talcahuano 494,"-34.60282,-58.385221",San Nicolás,"Ciencias económicas, jurídicas y empresariales",5235-0030,jose.pascual@abeledoperrot.com,www.abeledoperrot.com,
Kier,Av. Santa Fe 1260,"-34.59565,-58.385131",Retiro,Autoayuda y esoterismo,4811-0507,info@kier.com.ar,www.kier.com.ar,
La Ley,Lavalle 1300,"-34.602751,-58.385191",San Nicolás,"Ciencias económicas, jurídicas y empresariales",4383-8387 / 4381-1244,tribunales@thomsonreuters.com, www.leley.com.ar,
La Ley,Tucumán 1471,"-34.601681,-58.387655",San Nicolás,"Ciencias económicas, jurídicas y empresariales",4378-4733 /  4378-4732,laley.correo.casacentral@thomson.com ,www.laley.com.ar ,
La Ley,Viamonte 1534,"-34.600687,-58.388592",San Nicolás,"Ciencias económicas, jurídicas y empresariales",4371-2107 /  4371-2887, laley.correo.cienciaseconomicas@thomsonreuters.com,www.laley.com.ar,
Libería Lajouane S.R.L.,Pacheco de Melo 2036 - 2º A,"-34.590678,-58.39525",Recoleta,"Ciencias económicas, jurídicas y empresariales",4806-1569,lajouane@infovia.com.ar,,
Librerías Libertador,Av. Corrientes 1318,"-34.60395,-58.385376",San Nicolás,"De saldos, De viejo",4373-4357 / 4372-1691,libreriaslibertador@uolsinectis.com.ar / info@edicioneslibertador.com.ar,www.edicioneslibertador.com.ar   ,5vIfH-7Dnbk
Librería Legal ,Riobamba 460 3º A,"-34.603727,-58.393969",Balvanera,"Ciencias económicas, jurídicas y empresariales",4953-5246 ,consultas@librerialegal.com.ar,www.librerialegal.com,
Librería Matias,Gascón 73,"-34.611654,-58.424138",Almagro,General,4981-9092,,,
Libroshop,Av. Santa Fe 2530,"-34.594356,-58.402719",Recoleta,De saldos,4826-5537,libros@compro-libros.com,www.compro-libros.com,
Yenny,Bullrich 345,"-34.575088,-58.425271",Palermo,General,4535-2020,,www.tematika.com / www.yenny-elateneo.com.ar,
Libroshop,Av. Corrientes 1671,"-34.603284,-58.421004",Balvanera,De saldos,4371-2154,libros@compro-libros.com,www.compro-libros.com,
Lilith Libros,Av. Santa Fe 3753,"-34.584797,-58.416441",Palermo,General,4833-0105,lilithlibros@gmail.com,,
Longseller,Av. Corrientes 1752,"-34.604449,-58.391577",San Nicolás,General,5031-5400,ventas@longseller.com.ar,www.longseller.com,
Lord Byron,Libertad 948 Loc. 16A,"-34.597555,-58.384144",Retiro,Anticuaria,4811 0902,manuscritos@fibertel.com.ar,www.lordbyron.com.ar,
Librería Lorraine,Av. Corrientes 1513,"-34.604089,-58.388074",San Nicolás,General,4374-4942,librerialorraine@hotmail.com,,P4MHts7XnN8
Los Angelitos,Monroe 5134 Loc.12,"-34.574529,-58.486738",Villa Urquiza,General,,,,
Losada,Av. Corrientes 1551,"-34.604138,-58.388649",San Nicolás,Humanidades,4375 5001,administra@editoriallosada.com,www.editoriallosada.com,2rZXiOpgBNY
Macchi Grupo Editor,Av. Córdoba 2015,"-34.599689,-58.396022",Recoleta,Medicina,4961-8355,libreria@macchi.com,www.macchi.com,
Libros Macondo,Jerónimo Salguero 1833,"-34.588838,-58.415334",Palermo,Textos escolares,4827-3744,librosmacondo@librosmacondo.com.ar,,
Libros Macondo,Silvio L. Ruggieri 2711,"-34.582745,-58.408135",Palermo,Textos escolares,4806-1422,librosmacondo@librosmacondo.com.ar,,
Madre Maravillas de Jesús ,Echeverría 2252 Loc. 14 y 15,"-34.562129,-58.45438",Belgrano,Religión,4781-8543,madremaravillasdejesus@gmail.com,,
Librería de las Madres,Hipólito Yrigoyen 1584,"-34.610095,-58.388795",Monserrat,Humanidades,4382-3261,libreria@madres.org,www.madres.org,
Librería del Malba,Av. Figueroa Alcorta 3415,"-34.577447,-58.403639",Palermo,"Artes visuales, diseño y aquitectura",4808-6550,info@tiendamalba.org.ar,www.malba.org.ar,
Manos artesanas comunicaciones,Uruguay 1368,"-34.59206,-58.387799",San Nicolás,Anticuaria,4815-0248,info@manosart.com,www.manosart.com,fyn-lNOzmZk
Mariela Manzur ,Av. Del Libertador 7548  2ºG,"-34.544373,-58.460204",Nuñez,"Artes visuales, diseño y aquitectura",4704-7347,mmanzur@premiumboox.com,www. coffeetableboox.com,
Librería Marista,Av. Callao 226,"-34.606484,-58.392154",San Nicolás,Religión,4374-3114,libreriamarista@infovia.com.ar,www.libreriamarista.com.ar,
Librería del Mármol,Lavalle 2015,"-34.603238,-58.39563",Balvanera,Humanidades,4372-6065,libros@libreriadelmarmol.com.ar,www.libreriadelmarmol.com.ar,
Martín Fierro,Lope de Vega 1773,"-34.623656,-58.512464",Villa General Mitre,General,4566-5943/2972,libmartinfierro@hotmail.com ,,
Mediápolis,Ciudad Universitaria pabellón 3 PB,"-34.541609,-58.436598",Nuñez,"Artes visuales, diseño y aquitectura",4780-2767,localmediapolis@gmail.com,,
Melos ediciones musicales,Tte. Gral. Perón 1558,"-34.606607,-58.388668",Balvanera,Música,4371-9841/42/43,info@melos.com.ar,www.melos.com.ar,
Memorias del subsuelo,Florida 835 Loc. 28,"-34.598282,-58.375367",Retiro,Humanidades,4313-3481,memoriassub@hotmail.com,,
Mercurio,F.D Roosevelt 5033,"-34.573241,-58.486493",Villa Urquiza,General,,,,
Meridiana,Rodríguez Peña 1034,"-34.596767,-58.391884",Recoleta,Comics,,,,
Gallo Cantor,Av. Corrientes 1382 L23,"-34.604019,-58.386289",San Nicolás,General,3220-3399,gallouruguay@yahoo.com,www.elgallocantor.com,
Librería Otras Letras,Soler 4796,"-34.586087,-58.426032",Palermo,De género,4831-5129,info@libreriaotrasletras.com,www.libreriaotrasletras.com,UmpMIksFBVc
Librería Valente ,Federico Lacroze 3860,"-34.583942,-58.453128",Chacarita,General,,,,
El Libro de arena,Aráoz 594,"-34.59811,-58.435259",Almagro,Infantiles,3535-1182,libreria@calibroscopio.com.ar,www.calibroscopio.com.ar,
Libro Film,Av. Corrientes 1145 Loc. 13,"-34.603756,-58.382877",San Nicolás,"Artes visuales, diseño y aquitectura",4382-6258,librofilm@hotmail.com,,
Libro Film,Av. Santa Fe 2450 Loc. 1,"-34.594624,-58.401726",Recoleta,"Artes visuales, diseño y aquitectura",4824-2142,librofilm@hotmail.com,,
El Libro francés,Esmeralda 861,"-34.598148,-58.378318",Retiro,Lenguas extranjeras,4311 0363,librofrances@yahoo.com,www.librofrances.com,
Eudeba Rojas,Av. Corrientes 2038,"-34.60453,-58.395845",San Nicolás,"General, Comunicación, Ciencias económicas, jurídicas y empresariales, Técnicos",4952-1999,eudeba@rojas.com.ar,www.eudeba.com.ar,
Los Libros más pequeños del mundo,Lavalle 835 Loc. 30,"-34.60239,-58.378611",San Nicolás,Autoayuda y esoterismo,4328-0423,,www.minibooks.com.pe,
Libroshop,Av. Corrientes 1471,"-34.604051,-58.387496",San Nicolás,De saldos,4371-2332,libros@compro-libros.com,www.compro-libros.com,
La Revisteria Comics,Av. Corrientes 1388 Local 3,"-34.604025,-58.386375",San Nicolás,Comics,4374-6152,info@larevisteria.com.ar,www.larevisteriacomics.com/,
Distal libros ,Av. Rivadavia 6870,"-34.628744,-58.462234",Caballito,General,4612-7044,rivadavia6870@distalenet.com,www.Distalnet.com ,
Librerías Lucas,Av. Corrientes 1247,"-34.603843,-58.384373",San Nicolás,De saldos,4382-4628,libreriaslucas@gmaill.com.ar,,
Librerías Lucas,Uruguay 975,"-34.597359,-58.387004",San Nicolás,De saldos,4813-0687,libreriaslucas@gmaill.com.ar,,
Librería de las Luces,Av. de Mayo 979,"-34.608962,-58.380377",Monserrat,De saldos,4343-6216,ventas@libreriadelasluces.com.ar ,,
Librería Figueroa,Maipú 898,"-34.597622,-58.37692",San Nicolás,Anticuaria,4314-0888,figueroaluisefren@yahoo.com.ar,,
Lumen,Viamonte 1674,"-34.600754,-58.390936",San Nicolás,General,4373-1414,juan.posse@lumen.com.ar,www.lumen.com.ar,
Lunaria libros,Iberá 1629,"-34.549344,-58.456475",Belgrano,General,4704-5254,lunarialibros@yahoo.com.ar,,
M. V. Libros ,Estados Unidos y Maza (sólo ventas online) ,"-34.622422,-58.41491",San Cristobal,Medicina,,mvtextos@live.com.ar,www.mvtextos.com,
Las Mil y una hojas,Av. Córdoba 960,"-34.599047,-58.380615",Retiro,Lenguas extranjeras,4328-6721,libros@lasmilyunahojas.com.ar / librosfranceses@lasmilyunahojas,www.lasmilyunahojas.com.ar,
Mireya,Florida 835 Loc. 33 B,"-34.598282,-58.375367",Retiro,Anticuaria,4312-5535,kochmaximiliano@yahoo.com,,
Murguía libros,Av. Córdoba 2270,"-34.599676,-58.399579",Balvanera,"General, Educación, Humanidades, Psicología",4952-6173 / 1088,info@murguia.com.ar / hfmurguia@gmail.com,www.murguia.com.ar,
Mythos libros,Güemes 4374,"-34.58297,-58.421746",Palermo,General,4832-3705,mythoslibros@hotmail.com,,
Librerías Nadir,Av. Brasil 1128 Loc. 17 y 18,"-34.627813,-58.380594",Constitución,General,4304-9502,constitucion@libreriasnadir.com.ar,www.libreriasnadir.com.ar,
Librerías Nadir,Av. Cabildo 1786,"-34.564997,-58.454129",Belgrano,General,5786-4445,Belgrano@libreriasnadir.com.ar,www.libreriasnadir.com,
Librerías Nadir,Av. Juan B. Alberdi 5853,"-34.651776,-58.502699",Mataderos,General,4635-5613,mataderos@libreriasnadir.com.ar,www.libreriasnadir.com.ar,
Librerías Nadir,Av. Pueyrredón 140 Loc. 42,"-34.608439,-58.406095",Balvanera,General,4518-0535,once@libreriasnadir.com.ar,www.libreriasnadir.com.ar,
Zivals,Av. Callao 395,"-34.604536,-58.392265",San Nicolás,General,5128-7500,libros@zivals.com,www.tangostore.com,HE33oQNj1pU
Librerías Nadir,Av. Rivadavia 5260,"-34.619771,-58.439744",Caballito,Textos escolares,4903-8989 / 4903-1282,caballito@libreriasnadir.com.ar,www.libreriasnadir.com.ar,
Nueva librería,Estados Unidos 301 PB,"-34.618435,-58.370171",San Telmo,"General, Técnicos",4362-9226,nuevalibreria@infovia.com.ar,www.nuevalibreria.com.ar,nAfNm09qjLE
Nueva Roma,Av. Santa Fe 2653 Loc12,"-34.593677,-58.404393",Recoleta,General,,,,
Martinez,Junin 941,"-34.598002,-58.397391",Recoleta,Medicina,4961-9407,,,
La Calesita,Av. de Mayo 769,"-34.608745,-58.377366",San Cristobal,Anticuaria,4342-4110,lacalesita@yahoo.com.ar,www.libreriaelventanal.com.ar,JUF1lp9kDQ4
Martycer, Monroe 5365,"-34.573489,-58.484947",Villa Urquiza,General,4523-4392,martycer@hotmail.com,,
Martycer,Av. Monroe 4957,"-34.573489,-58.484947",Villa Urquiza,De saldos,4783-9273,martycer@hotmail.com  ,,
Mascaró Libros,Av. Santa Fe 2928,"-34.591457,-58.407367",Recoleta,Humanidades,4821-9442,librosmas@fibertel.com.ar,,
Las Mil y una hojas,Luis María Campos 1384,"-34.56386,-58.44234",Belgrano,Lenguas extranjeras,4511-4191,librosfranceses@lasmilyunahojas.com.ar,www.lasmilyunahojas.com.ar,
Librería de la Paz,Estados Unidos 689,"-34.618547,-58.375682",San Telmo,General,4307-4725,delapaz_santelmo@yahoo.com.ar,www.libreriadelapaz.com.ar,
Librería de Mujeres,Pasaje Rivarola 175,"-34.606654,-58.385422",San Nicolás,De género,4372-5930,libreriamujeres@sion.com,www.libreriademujeres.com.ar,
Librerías Nadir,Av. Sacalabrini Ortiz 274,"-34.600063,-58.439116",Villa del Parque,General,4856-7473,villacrespo@libreriasnadir.com.ar,www.libreriasnadir.com.ar,
Librerías Nadir,Cuenca 3131,"-34.601047,-58.495515",Villa Devoto,General,4504 - 3471 ,villadelparque@libreriasnadir.com.ar,www.libreriasnadir.com.ar,
Ediciones Nueva Técnica,Viamonte 2096,"-34.601014,-58.397054",Balvanera,"Ciencias económicas, jurídicas y empresariales",4374-6185 / 4374-4245,novedades_ent@ciudad.com.ar,www.ent.com.ar ,
Obel libros,Av. Corrientes 1230,"-34.603864,-58.38411",San Nicolás,General,4382-3190,obellibros@yahoo.com.ar,,
Librería Paidós del Fondo,Av. Santa Fe 1685,"-34.595814,-58.391653",Recoleta,Humanidades,4812-6685,santafe@libreriapaidos.com,www.libreriapaidos.com,
Paner,Avenida Las Heras 1938,"-34.590632,-58.393326",Recoleta,Humanidades,4803-8713,,,
Paradigma libros,Maure 1786,"-34.567413,-58.436572",Belgrano,Humanidades,4777-2746,info@paradigmalibros.com,www.paradigmalibros.com,
Paradigma libros,Soldado de la Independencia 826,"-34.567177,-58.435131",Belgrano,"Artes visuales, diseño y aquitectura, Infantiles",4774-5565,info@paradigmalibros.com,www.paradigmalibros.com,
 La Paragráfica,"Av. Córdoba 1785 Loc. 4, 5 y 6","-34.599613,-58.392731",Recoleta,"Artes visuales, diseño y aquitectura",4815-7670,par@paragrafica.com.ar,www.paragrafica.com.ar,
Patria grande,Av. Rivadavia 6369,"-34.626499,-58.456319",Flores,Religión,4631-6446,,www.editorapatriagrande.com,
Librería Paulinas,Pueyrredón 528,"-34.604244,-58.405409",Balvanera,Religión,4962-4848,libreriacapital@paulinas.org.ar,www.paulinas.org.ar ,
Librería Peluffo,Av. Corrientes 4276,"-34.602769,-58.425258",Almagro,Textos escolares,4862-2164,libros@libreriapeluffo.com.ar,www.libreriapeluffo.com.ar ,
Librería del  Plata,Guido 1927 PB A,"-34.589022,-58.39114",Recoleta,Anticuaria,4804-3288,libreriadelplata@gmail.com,www.libreriadelplata.com.ar,
Librería Platero,Talcahuano 485,"-34.602912,-58.385177",San Nicolás,Anticuaria,4382-2215,info@libreriaplatero.com.ar ,www.libreriaplatero.com.ar,
Poema 20,Esmeralda 869,"-34.598048,-58.378326",Retiro,Anticuaria,4312-0199,poema20@fibertel.com.ar,http://www.facebook.com/pages/Buenos-Aires-Argentina/Libreria-Anticuaria-Poema-20/131372390232405,
La Porteña libros,Juramento 1705,"-34.558126,-58.450142",Belgrano,General,4788-0433,laportealibros@yahoo.com.ar,,
Porto,Talcahuano 447,"-34.603359,-58.38515",San Nicolás,"Ciencias económicas, jurídicas y empresariales",,,,
Librería Prólogo,Florida 835 Loc. 7,"-34.598282,-58.375367",Retiro,Anticuaria,4313-8870,libreriaprologobsas@hotmail.com,,
Prometeo libros,Av. Corrientes 1916,"-34.604509,-58.394074",Balvanera,Humanidades,4952-8923 /  4953-1165,info@prometeolibros.com / reposiciones@prometeolibros.com,www.prometeolibros.com.ar,i4q72YUNIHs
Prometeo libros,Honduras 4912,"-34.589329,-58.429315",Palermo,Humanidades,4833-1771,palermo@prometeolibros.com,www.prometeolibros.com.ar,dugFfXtAU-o
Prometeo libros,"Marcelo T. Alvear 2230 (Fac. de Ciencias Sociales, UBA)","-34.596987,-58.399281",Recoleta,Humanidades,,,www.prometeolibros.com.ar,
Prometeo libros,Ramos Mejía 841,"-34.606051,-58.432291",Caballito,Humanidades,4958-5372,cpolitica@prometeolibros.com,www.prometeolibros.com.ar,
Psicodeia,Gral. Urquiza 778,"-34.619723,-58.40924",Balvanera,"General, Psicología",4957-5973,,centroeditorargentino@2vias.com.ar,
Puerta del Sol,Pedernera 88,"-34.630351,-58.463648",Flores,Textos escolares,4613-2695,puertadelsol@fibertel.com.ar,,
Norte libros,Av. Las Heras 2225,"-34.588289,-58.396165",Recoleta,Narrativa y poesía,4803-3944,librerianorte@sion.com,www.librosnorte.com.ar,
Librería pedagógica Noveduc,Av. Corrientes 4345,"-34.602621,-58.426306",Almagro,Educación,4867-2020,contacto@noveduc.com,www.noveduc.com,
La nube,Jorge Newbery 3537,"-34.583178,-58.44903",Colegiales,Infantiles,4552-4080,lanube@lanube.org.ar,www.lanube.org.ar,
OCS book shop,Superí 1372,"-34.574562,-58.45908",Belgrano,Lenguas extranjeras,4555-5439 / 4552-3179,ocsbookshop@toshingroup.com,www.toshingroup.com,
La Oferta,Av. Corrientes 1906,"-34.604508,-58.393931",Balvanera,"De saldos, De viejo",4953-3573,,,
La Oferta,Av. Rivadavia 1711,"-34.609167,-58.390737",San Nicolás,De saldos,,,,
Osmar D. Buyatti,Viamonte 1509,"-34.600639,-58.388232",San Nicolás,"Ciencias económicas, jurídicas y empresariales",4371-2512,ventas@osmarbuyatti.com,www.osmarbuyatti.com,
